Name,Value,Wage
Álvaro Borja Morata Martín,€32000K,€80K
Lucas Rodrigues M. Silva,€31000K,€130K
Danilo Luís Hélio Pereira,€24000K,€21K
Lucas Digne,€28500K,€97K
Francisco Alcácer García,€32000K,€105K
Jasper Cillessen,€20000K,€39K
Francesco Acerbi,€19000K,€64K
Wissam Ben Yedder,€27000K,€67K
Charles Aránguiz,€24000K,€86K
Pablo Sarabia García,€29500K,€105K
Wilfried Zaha,€32000K,€89K
Rodrigo Moreno Machado,€27000K,€60K
Marc Bartra Aregall,€25500K,€36K
Kevin Kampl,€25500K,€77K
Idrissa Gueye,€22000K,€100K
Juan Cuadrado,€22500K,€135K
Koen Casteels,€22000K,€50K
Nicolás Otamendi,€19000K,€145K
Lukáš Hrádecký,€18500K,€67K
Daley Blind,€22000K,€31K
Asier Illarramendi,€22000K,€42K
Kevin Trapp,€21500K,€42K
Oscar dos Santos Emboaba,€27000K,€29K
Aaron Ramsey,€25500K,€140K
Gylfi Sigurðsson,€25500K,€120K
Jordan Henderson,€22000K,€115K
Max Kruse,€23500K,€105K
David Luiz Moreira Marinho,€16500K,€105K
Sami Khedira,€19500K,€135K
Diego da Silva Costa,€25000K,€80K
Éver Banega,€19500K,€26K
Radja Nainggolan,€22500K,€51K
Rui Pedro dos Santos Patrício,€16500K,€82K
Ezequiel Garay,€16500K,€48K
Carlos Vela,€24500K,€17K
João Miranda de Souza Filho,€9500K,€32K
Radamel Falcao García Zarate,€16500K,€105K
Kasper Schmeichel,€15500K,€82K
Fabio Quagliarella,€9500K,€46K
Raúl Albiol Tortajada,€12000K,€45K
Vincent Kompany,€12000K,€31K
Rune Almenning Jarstein,€11500K,€33K
Iker Casillas Fernández,€2600K,€11K
Gianluigi Buffon,€2600K,€58K
Andrés Iniesta Luján,€11000K,€12K
José María Sildero,€0,€0
Egidio Maestre Schetino,€0,€0
Gabriel Fernando de Jesus,€31000K,€140K
Rosberto J. Dourado Santos,€17000K,€46K
Juan Everton Mestres de Mesquita,€6500K,€28K
Raphael William Anjos Rochedo,€14000K,€32K
Mikel Oyarzabal Ugarte,€31000K,€39K
Leon Bailey,€30500K,€65K
Nélson Cabral Semedo,€26000K,€150K
André Onana,€22000K,€18K
Steven Bergwijn,€30000K,€22K
Presnel Kimpembe,€26500K,€75K
Rúben Diogo da Silva Neves,€29000K,€89K
Lucas Torreira,€27000K,€80K
David Soria Solís,€19500K,€26K
Hirving Lozano,€29000K,€77K
Naby Keïta,€29000K,€95K
Rafael A. Ferreira Silva,€26000K,€21K
José Luis Morales Nogales,€20000K,€39K
Matteo Politano,€26500K,€77K
Iñaki Williams Arthuer,€29000K,€36K
Duván Zapata,€23000K,€80K
Ángel Correa,€29000K,€59K
Thomas Strakosha,€22000K,€39K
Kerem Demirbay,€27500K,€75K
Daniele Rugani,€26000K,€95K
Nicolás Tagliafico,€22500K,€27K
Ricardo Barbosa Pereira,€23500K,€89K
Thomas Partey,€27000K,€68K
Fernando Pacheco Flores,€18500K,€27K
Jamie Vardy,€17500K,€115K
Quincy Promes,€23000K,€32K
Andrea Belotti,€30000K,€63K
Filip Kostić,€26000K,€49K
Emil Forsberg,€25500K,€67K
Josef Martínez,€28000K,€15K
Jesse Lingard,€24000K,€135K
Mateo Kovačić,€29000K,€125K
Antonio Rüdiger,€24000K,€115K
Stefan Savić,€22500K,€65K
Thorgan Hazard,€26000K,€90K
Harry Maguire,€23000K,€125K
Karim Bellarabi,€21500K,€89K
Jesús Joaquín Fernández Sáez,€26500K,€56K
Jérôme Roussillon,€22500K,€56K
Thomas Meunier,€20000K,€87K
Gabriel Armando de Abreu,€21500K,€46K
Benjamin Lecomte,€20000K,€42K
José Ignacio Fernández Iglesias,€21000K,€165K
Kevin Volland,€26500K,€85K
Nico Schulz,€22500K,€82K
Sergio Roberto Carnicer,€22000K,€155K
Cédric Bakambu,€23000K,€34K
Mattia Perin,€21000K,€90K
Joel Matip,€23000K,€99K
Willian José da Silva,€26000K,€44K
Oliver Baumann,€18000K,€39K
Mário Figueira Fernandes,€19000K,€60K
Xherdan Shaqiri,€23000K,€120K
Thomas Delaney,€23000K,€82K
Alphonse Areola,€21000K,€125K
Mario Götze,€26000K,€98K
Ander Herrera Agüera,€21500K,€100K
Stephan El Shaarawy,€24000K,€29K
Luuk de Jong,€23000K,€29K
Iker Muniain Goñi,€26000K,€35K
Pedro Rodríguez Ledesma,€19500K,€140K
Giacomo Bonaventura,€21500K,€56K
Bas Dost,€21500K,€54K
Taison Barcellos Freda,€19500K,€1K
Marlos Romero Bonfim,€19500K,€1K
Mario Balotelli,€23000K,€27K
Aleksandar Kolarov,€10000K,€52K
Giuliano Victor de Paula,€21500K,€59K
Alexis Sánchez,€21000K,€87K
Marko Arnautović,€21500K,€29K
Willian Borges da Silva,€21000K,€140K
Simon Kjær,€18000K,€65K
Sergio Asenjo Andrés,€17000K,€33K
Olivier Giroud,€17500K,€140K
Juan Manuel Mata García,€19500K,€135K
Emiliano Viviano,€12000K,€15K
Łukasz Fabiański,€9500K,€75K
Lucas Biglia,€11000K,€49K
Franck Ribéry,€7500K,€52K
Héctor Herrera,€21500K,€70K
Santiago Cazorla González,€11000K,€45K
Jesús Navas González,€13500K,€26K
Aritz Aduriz Zubeldia,€8000K,€29K
Daniele De Rossi,€7000K,€23K
José Manuel Reina Páez,€3700K,€26K
Segundo Mandíquez,€0,€0
Luis Roberto Dálves,€0,€0
Saúl Marcelo Ardero,€0,€0
Jaime Nicolás Frendado,€0,€0
Éder Gabriel Militão,€23000K,€105K
David Neres Campos,€24000K,€26K
Tanguy Ndombele,€26000K,€87K
Houssem Aouar,€26000K,€59K
Lautaro Martínez,€27000K,€61K
Laureano Thomas Santeiro Marre,€15500K,€40K
Gelson Dany Batalha Martins,€23000K,€43K
Wilfred Ndidi,€20500K,€74K
Pablo Fornals Malla,€24500K,€82K
Marcos Acuña,€18500K,€21K
Wout Weghorst,€21000K,€62K
Daniel Ceballos Fernández,€24000K,€82K
Victor Lindelöf,€22000K,€97K
Donny van de Beek,€24500K,€24K
Marcelo Brozović,€19500K,€68K
Daniel García Carrillo,€17000K,€33K
Armando Izzo,€18500K,€51K
Gerónimo Rulli,€16000K,€32K
Thiago Henrique Mendes Ribeiro,€19000K,€73K
João Mário Naval Costa Eduardo,€21500K,€62K
José Luís Gayà Peña,€21000K,€35K
Piotr Zieliński,€22500K,€71K
Raphaël Guerreiro,€21500K,€79K
Lucas Vázquez Iglesias,€18000K,€180K
Emre Can,€23000K,€110K
Abdoulaye Doucouré,€20000K,€73K
Gerard Moreno Balagueró,€21000K,€45K
Matthias Ginter,€19500K,€33K
Ryan Fraser,€21500K,€76K
Yussuf Poulsen,€22000K,€65K
Franco Vázquez,€16500K,€24K
Alassane Plea,€22000K,€41K
Luka Milivojević,€17500K,€66K
Luke Shaw,€20000K,€97K
Alessio Cragno,€18000K,€30K
Juan Bernat Velasco,€19500K,€81K
Marcel Sabitzer,€22500K,€59K
Willi Orban,€19000K,€57K
Eran Zahavi,€16000K,€25K
Tomáš Vaclík,€14000K,€18K
Alessandro Florenzi,€15000K,€51K
Geoffrey Kondogbia,€21500K,€45K
Rafael Alcântara,€22000K,€32K
Timo Horn,€15500K,€28K
Jordi Masip López,€14000K,€21K
Granit Xhaka,€20500K,€94K
Jonathan Viera Ramos,€17500K,€18K
Sebastián Coates,€15500K,€18K
André Gomes Magalhães Almeida,€15000K,€18K
Jesús Corona,€21000K,€19K
Henrikh Mkhitaryan,€17000K,€53K
Marcos Alonso Mendoza,€15000K,€115K
Nemanja Matić,€14500K,€115K
Adem Ljajić,€18500K,€80K
Nicolas Nkoulou,€15000K,€54K
Luiz Gustavo Dias,€13500K,€73K
Sebastian Giovinco,€14000K,€56K
Nicolás Gaitán,€15500K,€13K
Fernando Reges,€13500K,€22K
Marco Parolo,€7000K,€54K
Moussa Sissoko,€17000K,€105K
Fernando Muslera,€9500K,€59K
Vedran Ćorluka,€8500K,€57K
Antonio Adán Garrido,€11000K,€46K
Beñat Etxebarria Urkiaga,€13500K,€32K
Dimitri Payet,€14000K,€46K
Kévin Gameiro,€14000K,€48K
Łukasz Piszczek,€6000K,€76K
Andrés Guardado,€13500K,€32K
José Miguel da Rocha Fonte,€5500K,€32K
Renato Augusto,€15000K,€28K
Jardel Nivaldo Vieira,€8500K,€18K
Laurent Koscielny,€8500K,€39K
Andrea Consigli,€11000K,€48K
Francesc Fàbregas i Soler,€13500K,€50K
Mousa Dembélé,€15000K,€23K
Bafétimbi Gomis,€11000K,€56K
Lisandro López,€6500K,€25K
James Milner,€10500K,€105K
Jérémy Mathieu,€5500K,€13K
Ricardo Andrade Quaresma Bernardo,€8000K,€16K
Mauro Evidio Nérez,€0,€0
Matías David Baldona,€0,€0
Jorge Ezequiel Serendero,€0,€0
João Félix Sequeira,€28000K,€38K
Lorenzo Morón García,€19500K,€31K
Dominik Livaković,€15500K,€1K
Rúben Alves Dias,€18500K,€14K
Maximiliano Gómez,€20000K,€40K
Óscar Melendo Jiménez,€20500K,€26K
Manuel Lazzari,€18500K,€53K
Carlos Soler Barragán,€21000K,€36K
Álvaro Odriozola Arzalluz,€17500K,€115K
Miguel Almirón,€18500K,€52K
Welington Kauê Dano Nascimento,€10500K,€34K
Everton Jorge Andrade Zanon,€4700K,€24K
Mario Hermoso Canseco,€19000K,€46K
Ferland Mendy,€18000K,€115K
Yeray Álvarez López,€17500K,€23K
Moussa Marega,€15500K,€20K
Marko Dmitrović,€12000K,€22K
Maximilian Eggestein,€19500K,€31K
Marcos Llorente Moreno,€18500K,€46K
Eric Bailly,€16500K,€105K
Joe Gomez,€20000K,€73K
Diogo José Teixeira da Silva,€20500K,€84K
Nicolò Barella,€21500K,€60K
Valentin Rongier,€19000K,€38K
Jaime Mata Arnaiz,€14500K,€33K
Krzysztof Piątek,€20500K,€44K
Jonathan Rodríguez Menéndez,€15500K,€56K
Harry Winks,€20000K,€82K
Julian Weigl,€17500K,€61K
Mattia Caldara,€17500K,€40K
Martin Dúbravka,€11500K,€37K
Ante Rebić,€19000K,€48K
Matias Vecino,€15000K,€63K
Tiémoué Bakayoko,€18000K,€36K
Youri Tielemans,€20500K,€76K
Keita Baldé,€19500K,€40K
Mike Maignan,€16000K,€28K
Joaquín Correa,€20000K,€53K
Walter Benítez,€13500K,€30K
Iván Marcone,€12500K,€29K
Franco Armani,€9000K,€22K
Andreas Christensen,€19000K,€85K
Marcos Paulo Mesquita Lopes,€20000K,€19K
Santiago Mina Lorenzo,€20000K,€29K
Odisseas Vlachodimos,€14500K,€12K
Moussa Dembélé,€20000K,€71K
André Filipe Tavares Gomes,€17500K,€76K
Elseid Hysaj,€17000K,€60K
Marcel Halstenberg,€13000K,€53K
Samuel Castillejo Azuaga,€18500K,€40K
Juan Fernando Quintero,€18500K,€30K
Nathan Aké,€17500K,€58K
Munas Dabbur,€17500K,€24K
Gabriel Appelt Pires,€18000K,€17K
Hakan Çalhanoğlu,€17500K,€48K
Michael Keane,€16500K,€80K
Manuel Trigueros Muñoz,€16500K,€39K
Taras Stepanenko,€12500K,€1K
Esteban Andrada,€13500K,€24K
Bernard Anício Caldeira Duarte,€16000K,€88K
Matija Nastasić,€16000K,€35K
Cristian Portugues Manzanera,€17500K,€38K
Benjamin Mendy,€17500K,€96K
Raúl Jiménez,€15500K,€99K
Iñigo Martínez Berridi,€14500K,€29K
Kurt Zouma,€17500K,€85K
Christoph Kramer,€14500K,€34K
Alejandro Pozuelo Melero,€15500K,€12K
Šime Vrsaljko,€13000K,€53K
Héctor Bellerín Moruno,€17500K,€69K
Pavel Kadeřábek,€14500K,€39K
Davy Klaassen,€17000K,€35K
Simone Zaza,€15500K,€59K
Sergi Darder Moll,€19000K,€33K
Gerard Deulofeu Lázaro,€19000K,€78K
Salif Sané,€13000K,€37K
Martin Hinteregger,€16000K,€39K
Faouzi Ghoulam,€12500K,€66K
Aïssa Mandi,€16000K,€27K
Ismaily Gonçalves dos S.,€12000K,€1K
Cristian Tello Herrera,€15500K,€30K
Steven Berghuis,€15500K,€21K
Hans Vanaken,€17500K,€30K
José Gómez Campaña,€18000K,€31K
Sergi Gómez Solà,€15500K,€20K
Ibai Gómez Pérez,€14500K,€31K
Domagoj Vida,€12000K,€68K
Luis Muriel,€15500K,€69K
Mathew Ryan,€12500K,€43K
Alex Oxlade-Chamberlain,€18500K,€90K
Josuha Guilavogui,€13000K,€51K
Callum Wilson,€17500K,€81K
Simone Verdi,€16000K,€52K
Dejan Lovren,€12500K,€90K
Sergi Enrich Ametller,€15000K,€34K
Younès Belhanda,€14500K,€77K
Ricardo Rodríguez,€13500K,€42K
Roberto Pereyra,€15000K,€78K
Kevin Vogt,€13500K,€39K
Danijel Subašić,€6500K,€34K
Eduardo Salvio,€15000K,€31K
Jeroen Zoet,€13000K,€18K
Chris Smalling,€12500K,€47K
Kevin Strootman,€14000K,€45K
Givanildo Vieira de Souza,€11500K,€23K
Francis Coquelin,€14500K,€43K
Manuel Lanzini,€18000K,€88K
Steven Nzonzi,€12000K,€68K
Lars Stindl,€14500K,€39K
Yann M'Vila,€12500K,€38K
Mateo Musacchio,€13000K,€44K
Kieran Trippier,€12500K,€56K
Sofiane Feghouli,€14500K,€77K
Lucas Pratto,€13500K,€33K
Diego Perotti,€14000K,€54K
Sidnei Rechel da Silva Júnior,€12500K,€29K
Makoto Hasebe,€4500K,€28K
Federico Fazio,€9500K,€45K
Benedikt Höwedes,€11000K,€53K
Ralf Fährmann,€10000K,€43K
Vitorino Pacheco Antunes,€9000K,€27K
Etienne Capoue,€12000K,€68K
Sven Bender,€12000K,€62K
Lars Bender,€11500K,€62K
Mathieu Valbuena,€7500K,€1K
Marcelo Díaz,€9500K,€25K
David Ospina,€10000K,€51K
Ignacio Piatti,€7500K,€13K
Pedro León Sánchez Gil,€11500K,€30K
Sergio Romero,€9000K,€85K
Daniel Wass,€11500K,€38K
Raúl García Escudero,€11500K,€30K
Erik Lamela,€15500K,€94K
Danny Rose,€12500K,€90K
Ştefan Radu,€9500K,€51K
Charles Dias De Oliveira,€7000K,€25K
Steve Mandanda,€6500K,€32K
Tom Heaton,€8000K,€50K
Ben Foster,€2500K,€36K
Benoît Costil,€9500K,€30K
Jorge Molina Vidal,€5500K,€25K
André-Pierre Gignac,€9500K,€88K
Igor Akinfeev,€8000K,€40K
Diego López Rodríguez,€1500K,€17K
Javier Mascherano,€4700K,€13K
Luís Carlos Almeida da Cunha,€11500K,€13K
Miguel Ángel Moyá Rumbo,€4000K,€17K
Wayne Rooney,€9500K,€13K
Joaquín Sánchez Rodríguez,€5000K,€22K
Enzo Manuel Aguerro,€0,€0
Leandro Miguel Sáreda,€0,€0
Enzo Martín Riquero,€0,€0
Daniel Martín Lenzado,€0,€0
Viktor Tsygankov,€18000K,€1K
Daniel Olmo Carvajal,€19500K,€1K
Héctor Junior Firpo Adamés,€15500K,€110K
Vinícius José de Oliveira Júnior,€22500K,€60K
Dan-Axel Zagadou,€16000K,€48K
Ibrahima Konaté,€18000K,€36K
Tomáš Souček,€15500K,€1K
Marc Roca Junqué,€16000K,€26K
Federico Chiesa,€18500K,€48K
Diadie Samassékou,€16000K,€32K
Achraf Hakimi,€16000K,€48K
Jonathan Ikoné,€18500K,€32K
Lucas Tolentino Coelho de Lima,€19500K,€32K
Raphael Dias Belloli,€17000K,€46K
Shoya Nakajima,€16000K,€15K
Wesley Moraes Ferreira da Silva,€17500K,€61K
Ruslan Malinovskyi,€15000K,€58K
Richarlison de Andrade,€17000K,€72K
Alban Lafont,€15500K,€15K
Franck Yannick Kessié,€17500K,€38K
Luan Vágner Boas Macedo,€11500K,€48K
Bernard Gabriel Prestão Chaves,€9000K,€24K
Melvin Luan Parrela Porfírio,€9500K,€17K
A. Benjamin Chiamuloira Paes,€9500K,€30K
Maikel Renan Catarino Fagundes,€3600K,€27K
Ben Chilwell,€15500K,€65K
Andrey Lunev,€0,€0
Aaron Wan-Bissaka,€17500K,€71K
Rubén Alcaraz Jiménez,€12500K,€26K
Milot Rashica,€17500K,€32K
André Miguel Valente da Silva,€17000K,€39K
Florian Grillitsch,€16000K,€35K
Lorenzo Pellegrini,€18500K,€41K
Fabián Balbuena,€13000K,€76K
Sander Berge,€17000K,€14K
Christian Pulisic,€18000K,€85K
Rodrigo Bentancur,€20000K,€86K
Francisco Soares dos Santos,€13000K,€19K
Benjamin Pavard,€15500K,€72K
Thilo Kehrer,€16000K,€61K
Abdou Diallo,€15500K,€61K
Alexandr Golovin,€17500K,€38K
Mikel Merino Zazón,€18500K,€29K
Cristian Pavón,€17500K,€11K
Dyego Wilverson Ferreira Sousa,€12500K,€23K
Karl Toko-Ekambi,€15000K,€40K
Ruben Aguilar,€13500K,€40K
Petros Matheus dos Santos Araujo,€10500K,€42K
Lukas Klostermann,€15500K,€43K
Mariano Díaz Mejía,€16000K,€145K
Raúl Michel Melo da Silva,€10500K,€18K
Lei Wu,€13500K,€36K
James Maddison,€17500K,€72K
José Ángel Esmoris Tasende,€15000K,€91K
Munir El Haddadi,€17000K,€20K
Jason Denayer,€15500K,€55K
Diego Carlos Santos Silva,€13500K,€19K
Mbwana Ally Samatta,€15500K,€23K
Léo Dubois,€14500K,€55K
Stanislav Lobotka,€17000K,€25K
Allan Saint-Maximin,€17500K,€45K
Ander Capa Rodríguez,€12500K,€26K
Davide Zappacosta,€12500K,€43K
Lucas Alario,€16000K,€70K
Leonardo Sigali,€8000K,€24K
Darío Benedetto,€12500K,€46K
Jean-Philippe Gbamin,€15500K,€65K
Jefferson Lerma,€15000K,€55K
Abderrazak Hamdallah,€13000K,€52K
Ruben Loftus-Cheek,€17000K,€89K
Alex Iwobi,€17000K,€72K
Ricardo Jorge da Luz Horta,€16000K,€18K
Roman Zobnin,€16000K,€54K
Niklas Stark,€15000K,€26K
Rubén Peña Jiménez,€11000K,€34K
Morgan Sanson,€16000K,€36K
Jonathan Castro Otto,€14500K,€72K
Otávio Edmilson da Silva Monteiro,€17000K,€15K
Raúl de Tomás Gómez,€17500K,€16K
Fabian Schär,€13500K,€43K
Frederico R. de Paula Santos,€15000K,€110K
Jonas Hector,€10500K,€32K
Adnan Januzaj,€17000K,€32K
Andreas Samaris,€10500K,€15K
Joël Veltman,€12500K,€22K
Sead Kolašinac,€13500K,€76K
Carlos Bacca,€10000K,€40K
Leandro Paredes,€16000K,€75K
Leandro Trossard,€16500K,€53K
Maximilian Arnold,€15500K,€48K
Denis Cheryshev,€12500K,€41K
Leonardo Carrilho Baptistão,€15000K,€18K
Ben Davies,€13500K,€81K
Téji Savanier,€14000K,€38K
James Ward-Prowse,€16500K,€53K
Daniele Baselli,€14000K,€49K
Takashi Inui,€11000K,€28K
Mário Rui Silva Duarte,€11000K,€62K
Michy Batshuayi,€16000K,€110K
Roque Mesa Quevedo,€11500K,€35K
Santiago Arias,€12500K,€50K
Kenny Lala,€12500K,€32K
John Brooks,€14000K,€46K
Damián Suárez,€9000K,€26K
Nick Pope,€11000K,€32K
Loris Karius,€11500K,€52K
José Luís Mendes Andrade,€13000K,€19K
Leonardo Spinazzola,€15000K,€47K
Willy Boly,€12500K,€80K
James Tarkowski,€14000K,€39K
Danny da Costa,€13500K,€35K
Eric Dier,€14500K,€77K
Jeison Murillo,€13500K,€38K
Ciprian Tătărușanu,€7000K,€52K
Milan Badelj,€10500K,€53K
Víctor Machín Pérez,€12500K,€57K
Matz Sels,€10500K,€26K
Nicolas Pallois,€9500K,€29K
Danilo Luiz da Silva,€11000K,€90K
Ross Barkley,€16000K,€98K
Serge Aurier,€13000K,€81K
Grzegorz Krychowiak,€11000K,€52K
Daniel Caligiuri,€9000K,€33K
Enzo Pérez,€6000K,€26K
Phil Jones,€12500K,€100K
Wahbi Khazri,€13000K,€43K
Andriy Yarmolenko,€12500K,€87K
Ishak Belfodil,€13500K,€44K
Víctor Laguardia Cisneros,€12000K,€28K
Germán Pezzella,€12500K,€55K
Víctor Ruiz Torre,€10000K,€64K
Haris Seferović,€14500K,€18K
Iago Herrerín Buisán,€8000K,€21K
Leandro Cabrera,€13000K,€26K
